Journal title	ISSN	eISSN	Publisher details	Open Access Status
Acta Mathematica Universitatis Comenianae	0862-9544	1336-0310	Univerzita Komenskeho	
Acta Mathematica Vietnamica	0251-4184	-	Springer Verlag	
Acta Mathematicae Applicatae Sinica	0168-9673	-	Springer Verlag	
Acta Mechanica	0001-5970	1619-6937	Springer-Verlag Wien	
Acta Mechanica et Automatica	1898-4088	-	Bialystok University of Technology	
Acta Mechanica Sinica/Lixue Xuebao	0567-7718	1614-3116	Springer Verlag	
Acta Mechanica Solida Sinica	0894-9166	1860-2134	Huazhong University of Science and Technology	
Acta Medica	1211-4286	1805-9694	Charles University Faculty of Medicine in Hradec Kralove	Unpaywall Open Access
Acta Medica Academica	1840-1848	1840-2879	Academy of Sciences and Arts of Bosnia and Herzegovina	Unpaywall Open Access
Acta Medica Bulgarica	0324-1750	-	Walter de Gruyter GmbH	Unpaywall Open Access
Acta Medica Indonesiana	0125-9326	2338-2732	Indonesian Society of Internal Medicine	
Acta Medica Iranica	0044-6025	1735-9694	Teheran University of Medical Sciences	Unpaywall Open Access
Acta Medica Lituanica	1392-0138	2029-4174	Vilnius University Press	Unpaywall Open Access
Acta Medica Okayama	0386-300X	-	Okayama University	
Acta Medica Peruana	1018-8800	1728-5917	Colegio Medico del Peru	Unpaywall Open Access
Acta Medica Philippina	0001-6071	2094-9278	University of the Philippines at Manila	
Acta Medica Portuguesa	0870-399X	1646-0758	CELOM	Unpaywall Open Access
Acta Medica Saliniana	0350-364X	1840-3956	University Clinical Center Tuzla	
Acta Medico-Historica Rigensia	1022-8012	2592-818X	Riga Stradins University	Unpaywall Open Access
Acta Metallurgica Sinica (English Letters)	1006-7191	2194-1289	Springer International Publishing	
Acta Metallurgica Slovaca	1335-1532	1338-1156	SciCell s.r.o.	Unpaywall Open Access
Acta Microbiologica Bulgarica	0204-8809	2603-3755	Bulgarian Society for Microbiology (Union of Scientists in Bulgaria)	
Acta Microbiologica et Immunologica Hungarica	1217-8950	1588-2640	Akademiai Kiado ZRt.	
Acta Microbiologica Hellenica	0438-9573	2459-4113	Multidisciplinary Digital Publishing Institute (MDPI)	
Acta Microbiologica Sinica	0001-6209	-	Acta Microbiologica Sinica Editorial Office	
Acta Microscopica	0798-4545	-	Interamerican Society for Electron Microscopy (CIASEM)	
Acta Montanistica Slovaca	1335-1788	-	Technical University of Kosice	Unpaywall Open Access
Acta Musei Moraviae, Scientiae Geologicae	1211-8796	2571-4686	Moravian Museum	
Acta Musei Napocensis	1454-1513	2734-4487	National Museum of History of Transylvania	
Acta Musicologica	0001-6241	-	International Musicological Society	
Acta Mycologica	0001-625X	2353-074X	Polish Botanical Society	Unpaywall Open Access
Acta Myologica	1128-2460	2532-1900	Pacini Editore Srl	
Acta Naturae	2075-8251	-	Acta Naturae	
Acta Neophilologica	0567-784X	2350-417X	University of Ljubljana Press	Unpaywall Open Access
Acta Neurobiologiae Experimentalis	0065-1400	1689-0035	Nencki Institute of Experimental Biology	
Acta Neurochirurgica	0001-6268	0942-0940	Springer	
Acta Neurochirurgica, Supplement	0065-1419	2197-8395	Springer Science and Business Media Deutschland GmbH	
Acta Neurologica Belgica	0300-9009	2240-2993	Springer Science and Business Media Deutschland GmbH	
Acta Neurologica Scandinavica	0001-6314	1600-0404	John Wiley and Sons Inc	
Acta Neurologica Taiwanica	1028-768X	-	Neurological Society R.O.C (Taiwan)	
Acta Neuropathologica	0001-6322	1432-0533	Springer Science and Business Media Deutschland GmbH	
Acta Neuropathologica Communications	-	2051-5960	BioMed Central Ltd	Unpaywall Open Access
Acta Neuropsychiatrica	0924-2708	1601-5215	Cambridge University Press	
Acta Neuropsychologica	1730-7503	-	Agencja Wydawnicza Medsportpress	
Acta Numerica	0962-4929	1474-0508	Cambridge University Press	
Acta Obstetricia et Gynecologica Scandinavica	0001-6349	1600-0412	Wiley-Blackwell	
Acta Oceanologica Sinica	0253-505X	1869-1099	Springer Verlag	
Acta Odontologica Latinoamericana	0326-4815	1852-4834	Acta Odontologica Latinoamericana	
Acta Odontologica Scandinavica	0001-6357	1502-3850	Medical Journals Sweden AB	Unpaywall Open Access
Acta Oecologica	1146-609X	-	Elsevier B.V.	
Acta Oeconomica	0001-6373	1588-2659	Akademiai Kiado ZRt.	
Acta of Bioengineering and Biomechanics	1509-409X	-	Sciendo	
Acta Oncologica	0284-186X	1651-226X	Medical Journals Sweden AB	Unpaywall Open Access
Acta Onomastica	1211-4413	-	Czech Academy of Sciences	
Acta Ophthalmologica	1755-375X	1755-3768	John Wiley and Sons Inc	
Acta Orientalia	0001-6446	1588-2667	Akademiai Kiado ZRt.	
Acta Ornithologica	0001-6454	-	Polish Academy of Sciences	
Acta Orthopaedica	1745-3674	1745-3682	Medical Journals Sweden AB	Unpaywall Open Access
Acta Orthopaedica Belgica	0001-6462	-	ARSMB-KVBMG	
Acta Orthopaedica et Traumatologica Turcica	1017-995X	-	AVES	Unpaywall Open Access
Acta Ortopedica Brasileira	1413-7852	-	Sociedade Brasileira de Ortopedia e Traumatologia	Unpaywall Open Access
Acta Oto-Laryngologica	0001-6489	1651-2251	Informa Healthcare	
Acta Otorhinolaryngologica Italica	0392-100X	1827-675X	Pacini Editore Srl	Unpaywall Open Access
Acta Otorrinolaringologica Espanola	0001-6519	1988-3013	Sociedad Espanola de Otorrinolaringologia y Cirugia de Cabeza y Cuello	
Acta Paedagogica Vilnensia	1392-5016	1648-665X	Vilnius University Press	Unpaywall Open Access
Acta Paediatrica, International Journal of Paediatrics	0803-5253	1651-2227	Wiley-Blackwell	
Acta Palaeobotanica	0001-6594	2082-0259	W. Szafer Institute of Botany, Polish Academy of Sciences	Unpaywall Open Access
Acta Palaeontologica Polonica	0567-7920	1732-2421	Polska Akademia Nauk	Unpaywall Open Access
Acta Palaeontologica Romaniae	1842-371X	2248-3802	Romanian Society of Palaeontologists	
Acta Palaeontologica Sinica	0001-6616	-	Chinese Academy of Sciences	
Acta Parasitologica	1230-2821	1896-1851	Springer Science and Business Media Deutschland GmbH	
ACTA Paulista de Enfermagem	0103-2100	1982-0194	Escola Paulista de Enfermagem, Universidade Federal de Sao Paulo	Unpaywall Open Access
Acta Pediatrica de Mexico	0186-2391	-	Sistema Nacional Para El Desarrollo Integral De La Familia	Unpaywall Open Access
Acta Pedologica Sinica	0564-3929	-	Science China Press	
Acta Periodica Technologica	1450-7188	2406-095X	University of Novi Sad, Faculty of Technology	Unpaywall Open Access
Acta Petrologica et Mineralogica	1000-6524	-	Science China Press	
Acta Petrologica Sinica	1000-0569	2095-8927	Science China Press	
Acta Pharmaceutica	1330-0075	1846-9558	Hrvatsko Farmaceutsko Drustvo	Unpaywall Open Access
Acta Pharmaceutica Sciencia	1307-2080	-	Istanbul Medipol University	
Acta Pharmaceutica Sinica B	2211-3835	2211-3843	Chinese Academy of Medical Sciences	Unpaywall Open Access
Acta Pharmacologica Sinica	1671-4083	1745-7254	Springer Nature	
Acta Philosophica	1121-2179	1825-6562	Fabrizio Serra Editore Srl	
Acta Phlebologica	1593-232X	1827-1766	Edizioni Minerva Medica S.p.A.	
Acta Physica Polonica A	0587-4246	-	Polish Academy of Sciences	Unpaywall Open Access
Acta Physica Polonica B	0587-4254	-	Jagellonian University	
Acta Physica Polonica B, Proceedings Supplement	1899-2358	-	Jagellonian University	
Acta Physiologiae Plantarum	0137-5881	1861-1664	Springer Nature	
Acta Physiologica	1748-1708	1748-1716	John Wiley and Sons Ltd	
Acta Physiologica Sinica	0371-0874	-	Kexue Chubaneshe/Science Press	
Acta Phytopathologica et Entomologica Hungarica	0238-1249	1588-2691	Akademiai Kiado	
Acta Phytotaxonomica et Geobotanica	1346-7565	2189-7042	Japanese Society for Plant Systematics	
Acta Poetica	0185-3082	2448-735X	Universidad Nacional Autonoma de Mexico	Unpaywall Open Access
Acta Politica	0001-6810	-	Palgrave Macmillan Ltd.	
Acta Politologica	1804-1302	1803-8220	Institute of Political Studies	Unpaywall Open Access
Acta Poloniae Historica	0001-6829	-	Polska Akademia Nauk	
Acta Poloniae Pharmaceutica - Drug Research	0001-6837	-	Polish Pharmaceutical Society	Unpaywall Open Access
Acta Polymerica Sinica	1000-3304	-	Science China Press	
Acta Polytechnica	1210-2709	1805-2363	Czech Technical University in Prague	Unpaywall Open Access
Acta Polytechnica Hungarica	1785-8860	-	Obuda University	
Acta Prataculturae Sinica	1004-5759	-	Editorial Department of Acta Prataculturae Sinica	
Acta Protozoologica	0065-1583	1689-0027	Jagiellonian University Press	
Acta Psychiatrica Scandinavica	0001-690X	1600-0447	John Wiley and Sons Inc	
Acta Psychologica	0001-6918	1873-6297	Elsevier B.V.	Unpaywall Open Access
Acta Psychologica Sinica	0439-755X	-	Science China Press	
Acta Radiologica	0284-1851	1600-0455	SAGE Publications Ltd	
Acta Scientiae	1517-4492	2178-7727	Lutheran University of Brazil	
Acta Scientiae Veterinariae	1678-0345	1679-9216	Universidade Federal do Rio Grande do Sul	
Acta Scientiarum - Agronomy	1679-9275	1807-8621	Universidade Estadual de Maringa	Unpaywall Open Access
Acta Scientiarum - Animal Sciences	1806-2636	1807-8672	Universidade Estadual de Maringa	Unpaywall Open Access
Acta Scientiarum - Biological Sciences	1679-9283	1807-863X	Universidade Estadual de Maringa	Unpaywall Open Access
Acta Scientiarum - Education	2178-5198	2178-5201	Universidade Estadual de Maringa	Unpaywall Open Access
Acta Scientiarum - Health Sciences	1679-9291	1807-8648	Universidade Estadual de Maringa	Unpaywall Open Access
Acta Scientiarum - Technology	1806-2563	1807-8664	Universidade Estadual de Maringa	Unpaywall Open Access
Acta Scientiarum Language and Culture	1983-4675	1983-4683	Universidade Estadual de Maringa	Unpaywall Open Access
Acta Scientiarum Mathematicarum	0001-6969	-	Springer International Publishing AG	
Acta Scientiarum Polonorum, Administratio Locorum	1644-0749	2450-0771	Publisher of the University of Warmia and Mazury in Olsztyn	Unpaywall Open Access
Acta Scientiarum Polonorum, Formatio Circumiectus	1644-0765	-	Publishing House of the University of Agriculture in Krakow	Unpaywall Open Access
Acta Scientiarum Polonorum, Hortorum Cultus	1644-0692	-	Wydawnictwo Akad Rolniczej W Lublinie	Unpaywall Open Access
Acta Scientiarum Polonorum, Technologia Alimentaria	1644-0730	-	Wydawnictwo Uniwersytetu Przyrodniczego w Poznaniu	
Acta Sedimentologica Sinica	1000-0550	-	Science China Press	
Acta Seismologica Sinica	0253-3782	-	Acta Seismologica Sinica Press	
Acta Silvatica et Lignaria Hungarica	1786-691X	1787-064X	University of West Hungary Press	
Acta Societatis Botanicorum Poloniae	0001-6977	2083-9480	Polish Botanical Society	Unpaywall Open Access
Acta Sociologica	0001-6993	1502-3869	SAGE Publications Ltd	
Acta Stomatologica Croatica	0001-7019	1846-0410	University of Zagreb	Unpaywall Open Access
Acta Stomatologica Naissi	0352-5252	1820-1202	University of Nis	Unpaywall Open Access
Acta Tabacaria Sinica	1004-5708	-	Science China Press	
Acta Technologica Agriculturae	1335-2555	1338-5267	De Gruyter Open Ltd.	Unpaywall Open Access
Acta Theologica	1015-8758	-	University of the Free State	Unpaywall Open Access
Acta Theriologica Sinica	1000-1050	-	Science China Press	
Acta Tropica	0001-706X	1873-6254	Elsevier B.V.	
Acta Turistica	0353-4316	1848-6061	University of Zagreb Faculty of Economics and Business	
Acta Universitatis Agriculturae et Silviculturae Mendelianae Brunensis	1211-8516	-	Mendel University in Brno	Unpaywall Open Access
Acta Universitatis Carolinae Iuridica	0323-0619	2336-6478	Univerzita Karlova	Unpaywall Open Access
Acta Universitatis Carolinae Studia Territorialia	1213-4449	2336-3231	Karolinum - Nakladatelstvi Univerzity Karlovy	Unpaywall Open Access
Acta Universitatis Carolinae Theologica	1804-5588	2336-3398	Karolinum - Nakladatelstvi Univerzity Karlovy	Unpaywall Open Access
Acta Universitatis Carolinae, Geographica	0300-5402	-	Karolinum - Nakladatelstvi Univerzity Karlovy	Unpaywall Open Access
Acta Universitatis Lodziensis. Folia Archaeologica	0208-6034	2449-8300	Lodz University Press	Unpaywall Open Access
Acta Universitatis Lodziensis. Folia Historica	0208-6050	2450-6990	Lodz University Press	Unpaywall Open Access
Acta Universitatis Lodziensis. Folia Iuridica	0208-6069	2450-2782	Lodz University Press	Unpaywall Open Access
Acta Universitatis Lodziensis. Folia Litteraria Polonica	1505-9057	2353-1908	Lodz University	Unpaywall Open Access
Acta Universitatis Lodziensis. Folia Litteraria Romanica	1505-9065	2449-8831	Lodz University Press	Unpaywall Open Access
Acta Universitatis Sapientiae, Mathematica	1844-6094	2066-7752	de Gruyter	Unpaywall Open Access
Acta Universitatis Sapientiae, Philologica	2067-5151	2391-8179	Sciendo	Unpaywall Open Access
Acta Urologica Japonica	0018-1994	-	Editorial Board of Acta Urologica Japonica	
Acta Veterinaria	0567-8315	1820-7448	Walter de Gruyter GmbH	Unpaywall Open Access
Acta Veterinaria Brasilica	1981-5484	-	Universidade Federal Rural do Semi-Arid	Unpaywall Open Access
Acta Veterinaria Brno	0001-7213	1801-7576	University of Veterinary and Pharmaceutical Sciences	
Acta Veterinaria Eurasia	2618-639X	2619-905X	Istanbul University	Unpaywall Open Access
Acta Veterinaria Hungarica	0236-6290	1588-2705	Akademiai Kiado ZRt.	
Acta Veterinaria Scandinavica	0044-605X	1751-0147	BioMed Central Ltd	Unpaywall Open Access
Acta Virologica	0001-723X	1336-2305	Frontiers Media SA	Unpaywall Open Access
Acta Zoologica	0001-7272	1463-6395	Wiley-Blackwell Publishing Ltd	
Acta Zoologica Academiae Scientiarum Hungaricae	1217-8837	-	Hungarian Natural History Museum	Unpaywall Open Access
Acta Zoologica Bulgarica	0324-0770	-	Institute of Biodiversity and Ecosystem Research - Bulgarian Academy of Sciences	
Acta Zoologica Lilloana	0065-1729	1852-6098	Fundacion Miguel Lillo	Unpaywall Open Access
Actas Dermo-Sifiliograficas	0001-7310	1578-2190	Elsevier Espana S.L.U	Unpaywall Open Access
Actas Espanolas de Psiquiatria	1139-9287	1578-2735	STM Editores S.A	
Actas Urologicas Espanolas	0210-4806	1699-7980	Elsevier Ltd	
Actes de la Recherche en Sciences Sociales	0335-5322	-	Editions du Seuil	
Action in Teacher Education	0162-6620	2158-6098	Taylor and Francis Ltd.	
Action Learning: Research and Practice	1476-7333	1476-7341	Taylor and Francis Ltd.	
Action Research	1476-7503	-	SAGE Publications Ltd	
Active and Passive Electronic Components	0882-7516	1563-5031	John Wiley and Sons Ltd	Unpaywall Open Access
Active Learning in Higher Education	1469-7874	1741-2625	SAGE Publications Ltd	
Active Volcanoes of the World	2195-3589	2195-7029	Springer Verlag	
Activitas Nervosa Superior Rediviva	1337-933X	1338-4015	Slovak Academy of Sciences	
Activities, Adaptation and Aging	0192-4788	-	Routledge	
Actual Problems of Theory and History of Art	2312-2129	-	Saint Petersburg State University	
Actualidad Civil	0213-7100	2254-9412	Karnov Group	
Actualidad Juridica Ambiental	-	1989-5666	Centro de Investigaciones Energeticas Medioambientales y Tecnologicas (CIEMAT)	Unpaywall Open Access
Actualidad Juridica Iberoamericana	-	2386-4567	Ibero-American Law Institute	
Actualidades en Psicologia	0258-6444	2215-3535	Universidad de Costa Rica	Unpaywall Open Access
Actualite Chimique	0151-9093	2105-2409	Societe Francaise de Chimie	
Actualites Pharmaceutiques	0515-3700	-	Elsevier Masson s.r.l.	
Actualizaciones en Osteologia	1669-8975	1669-8983	Asociacion Argentina de Osteologia y Metabolismo Mineral	
Actuators	-	2076-0825	Multidisciplinary Digital Publishing Institute (MDPI)	Unpaywall Open Access
Actuel Marx	0994-4524	-	Presses Universitaires de France	
Acupuncture and Electro-Therapeutics Research	0360-1293	2167-9010	SAGE Publications Ltd	
Acupuncture and Herbal Medicine	2097-0226	2765-8619	Wolters Kluwer	Unpaywall Open Access
Acupuncture in Medicine	0964-5284	1759-9873	BMJ Publishing Group	
Acute and Critical Care	2586-6052	2586-6060	Korean Society of Critical Care Medicine	Unpaywall Open Access
Acute Medicine	1747-4884	1747-4892	Rila Publications Ltd	
Ad Hoc Networks	1570-8705	-	Elsevier B.V.	
Ad Limina	2171-620X	2659-5885	Xunta de Galicia	Unpaywall Open Access
