Journal title,ISSN,eISSN,Publisher details,Publisher details2,Country of Publication,Language,Web Address
International Journal of Cancer,0020-7136,1097-0215,,,United States,,http://www.interscience.wiley.com/jpages/0020-7136/
JAMA Oncology,2374-2437,2374-2445,,American Medical Association,United States,English,http://jamanetwork.com/journals/jamaoncology
Journal for ImmunoTherapy of Cancer (JITC),,2051-1426,,BMJ Publishing Group,United Kingdom,English,https://jitc.bmj.com/
Journal of Clinical Oncology,0732-183X,1527-7755,,American Society of Clinical Oncology,United States,English,http://www.jco.org/
Journal of Experimental & Clinical Cancer Research,,1756-9966,BioMed Central (BMC),,United Kingdom,English,https://jeccr.biomedcentral.com/
Journal of the National Cancer Institute,0027-8874,1460-2105,Oxford University Press,,United States,,http://jnci.oupjournals.org/
Journal of Thoracic Oncology,1556-0864,1556-1380,Lippincott Williams & Wilkins,,United States,,http://www.jto.org
Molecular Cancer,,1476-4598,BioMed Central (BMC),,United States,,http://www.molecular-cancer.com/
Molecular Cancer Therapeutics,1535-7163,1538-8514,,,United States,,http://mct.aacrjournals.org/
Molecular Oncology,1574-7891,1878-0261,John Wiley & Sons,FEBS Press,Netherlands,English,https://febs.onlinelibrary.wiley.com/journal/18780261
Nature Cancer,,2662-1347,Springer Nature,Nature Research,United States,English,https://www.nature.com/natcancer/
Neuro-Oncology,1522-8517,1523-5866,,,,,http://www.oxfordjournals.org/
The Lancet Oncology,1470-2045,1474-5488,Elsevier,,Netherlands,English,https://www.thelancet.com/journals/lanonc/home
American Journal of Ophthalmology,0002-9394,1879-1891,Elsevier,,United States,,http://www.sciencedirect.com/science/journal/00029394
British Journal of Ophthalmology,0007-1161,1468-2079,,,United Kingdom,,http://bjo.bmjjournals.com/
Investigative Ophthalmology and Visual Science,0146-0404,1552-5783,,Lippincott-Raven Publishers,United States,,http://www.iovs.org/
JAMA ophthalmology,2168-6165,2168-6173,,American Medical Association,United States,English,http://archopht.jamanetwork.com/journal.aspx
"Ophthalmology (Rochester, Minn.)",0161-6420,1549-4713,,,,,http://www.elsevier.com/
Ear and Hearing,0196-0202,1538-4667,,,United States,,https://journals.lww.com/ear-hearing
Head and Neck,1043-3074,1097-0347,,Wiley-Interscience Publishers,United States,,http://www3.interscience.wiley.com/cgi-bin/jhome/38137
Rhinology,0300-0729,1996-8604,,,,English,http://www.rhinologyjournal.com
The Laryngoscope,0023-852X,1531-4995,,,United Kingdom,,http://www.laryngoscope.com/
Archives of Disease in Childhood,0003-9888,1468-2044,,BMJ Publishing Group,United Kingdom,,http://adc.bmjjournals.com/
Archives of Disease in Childhood: Fetal and Neonatal Edition,1359-2998,1468-2052,,BMJ Publishing Group,United Kingdom,,http://adc.bmjjournals.com/
JAMA pediatrics,2168-6203,2168-6211,,American Medical Association,United States,English,http://archpedi.jamanetwork.com/issues.aspx
Journal of Pediatrics,0022-3476,,,,United States,,http://www.sciencedirect.com/science/journal/00223476
Pediatrics,0031-4005,1098-4275,,American Academy of Pediatrics,United States,English,http://www.pediatrics.org/
The Lancet Child and Adolescent Health,2352-4642,2352-4650,Elsevier,London: Elsevier Ltd,United Kingdom,English,https://www.thelancet.com/journals/lanchi/home
Antimicrobial Agents and Chemotherapy,0066-4804,1098-6596,,American Society for Microbiology,United States,,http://aac.asm.org/
Aquatic Toxicology,0166-445X,1879-1514,Elsevier,,Netherlands,,http://www.sciencedirect.com/science/journal/0166445X
British Journal of Clinical Pharmacology,0306-5251,1365-2125,,Blackwell Science Ltd.,United Kingdom,,http://www.blackwellpublishing.com/journal.asp?ref=0306-5251
British Journal of Pharmacology,0007-1188,1476-5381,Macmillan Publishers Ltd.,,United Kingdom,,http://www.brjpharmacol.org/
Clinical Pharmacokinetics,0312-5963,1179-1926,,Ovid,United States,,https://www.springer.com/journal/40262
Clinical Pharmacology and Therapeutics,0009-9236,1532-6535,,Mosby,United States,,http://www.elsevier.com/wps/find/journaldescription.cws_home/623358/description#description
Drug Metabolism And Disposition,0090-9556,1521-009X,,American Society for Pharmacology and Experimental,United States,,http://dmd.aspetjournals.org/
Ecotoxicology and Environmental Safety,0147-6513,1090-2414,Elsevier,,Netherlands,English,https://www.sciencedirect.com/journal/ecotoxicology-and-environmental-safety
Environmental Toxicology and Chemistry,0730-7268,1552-8618,Pergamon Press,,United States,,http://onlinelibrary.wiley.com/journal/10.1002/%28ISSN%291552-8618
European Journal of Clinical Pharmacology,0031-6970,1432-1041,Springer,,Germany,,http://link.springer.de/link/service/journals/00228/
European Journal of Pharmaceutical Sciences,0928-0987,1879-0720,Elsevier,,Netherlands,,http://www.sciencedirect.com/science/journal/09280987
European journal of pharmaceutics and biopharmaceutics,0939-6411,1873-3441,,,Netherlands,,http://www.sciencedirect.com/science/journal/09396411
International Journal of Pharmaceutics,0378-5173,1873-3476,Elsevier,,Netherlands,English,https://www.sciencedirect.com/journal/international-journal-of-pharmaceutics
Journal of Antimicrobial Chemotherapy,0305-7453,1460-2091,,,United Kingdom,,http://jac.oxfordjournals.org/
Journal of Controlled Release,0168-3659,1873-4995,,Elsevier BV,Netherlands,,http://www.sciencedirect.com/science/journal/01683659
Journal of Medicinal Chemistry,0022-2623,1520-4804,American Chemical Society (ACS),,United States,,http://pubs.acs.org/journal/jmcmar
Journal of natural products,0163-3864,1520-6025,,,United States,,http://pubs.acs.org/journals/jnprdf/index.html
Journal of Pharmaceutical Sciences,0022-3549,1520-6017,Elsevier,,United States,English,https://www.jpharmsci.org/
Journal of Pharmacology and Experimental Therapeutics,0022-3565,1521-0103,,American Society for Pharmacology and Experimental,United States,,http://jpet.aspetjournals.org/contents-by-date.0.shtml
Molecular Pharmacology,0026-895X,1521-0111,,,United States,,http://molpharm.aspetjournals.org/
Nanotoxicology,1743-5390,1743-5404,Informa Healthcare,,United Kingdom,,http://www.informaworld.com/smpp/title~content=t716100760~db=all
Nature Reviews Drug Discovery,1474-1776,1474-1784,,Nature Portfolio,United States,English,https://www.nature.com/nrd/
Neuropsychopharmacology,0893-133X,1740-634X,Nature Portfolio,,United States,,http://www.nature.com/npp/index.html
Pharmaceutical Research,0724-8741,1573-904X,Springer,,"Netherlands, United States",English,https://www.springer.com/journal/11095
PharmacoEconomics (Auckland),1170-7690,1179-2027,,,,,http://www.springerlink.com/?MUD=MP
Pharmacoepidemiology and Drug Safety,1053-8569,1099-1557,,,,,http://eu.wiley.com/WileyCDA/
Pharmacology and Therapeutics,0163-7258,1879-016X,Elsevier,,Netherlands,,http://www.sciencedirect.com/science/journal/01637258
Toxicological Sciences,1096-6080,1096-0929,Oxford University Press,,United Kingdom,,http://toxsci.oxfordjournals.org/
Toxicology and Applied Pharmacology,0041-008X,1096-0333,Academic Press,,United States,,http://www.sciencedirect.com/science/journal/0041008X
Addiction,0965-2140,1360-0443,Blackwell Publishing,,United Kingdom,English,http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1360-0443
American Journal of Psychiatry,0002-953X,1535-7228,,HighWire Press,United States,English,http://ajp.psychiatryonline.org/
Biological Psychiatry,0006-3223,1873-2402,Elsevier,,United States,English,http://www.sciencedirect.com/science/journal/00063223
Bipolar Disorders,1398-5647,1399-5618,,,,,http://eu.wiley.com/WileyCDA/
British Journal of Psychiatry,0007-1250,1472-1465,,Royal College of Psychiatry,United Kingdom,,http://bjp.rcpsych.org/
European Child and Adolescent Psychiatry,1018-8827,1435-165X,Springer,,Germany,English,https://www.springer.com/journal/787
European psychiatry,0924-9338,1778-3585,Cambridge University Press,,"France, United Kingdom",English,https://www.cambridge.org/core/journals/european-psychiatry
JAMA psychiatry,2168-6238,2168-622X,,American Medical Association,United States,English,http://archpsyc.jamanetwork.com/
Journal of Psychiatric Research,0022-3956,1879-1379,Elsevier,,United Kingdom,English,http://www.sciencedirect.com/science/journal/00223956
Journal of Psychiatry & Neuroscience,1180-4882,1488-2434,,Ovid,United States,Multiple languages,http://jpn.ca/
Journal of the American Academy of Child and Adolescent Psychiatry,0890-8567,1527-5418,Elsevier,,United States,English,http://www.jaacap.com/
Molecular Psychiatry,1359-4184,1476-5578,Springer Nature,,"United Kingdom, United States",English,https://www.nature.com/mp/
Psychological Medicine,0033-2917,1469-8978,Cambridge University Press,,United Kingdom,English,http://journals.cambridge.org/action/displayJournal?jid=PSM
Psychosomatic Medicine,0033-3174,1534-7796,,Lippincott Williams & Wilkins,United States,English,http://www.psychosomaticmedicine.org/
Psychotherapy and Psychosomatics,0033-3190,1423-0348,S. Karger,Karger,Switzerland,English,http://www.karger.ch/journals/pps/pps_jh.htm
Schizophrenia Bulletin,0586-7614,1745-1701,Oxford University Press,,United States,English,http://schizophreniabulletin.oxfordjournals.org/
Schizophrenia Research,0920-9964,1573-2509,Elsevier,,Netherlands,English,http://www.sciencedirect.com/science/journal/09209964
Social Psychiatry and Psychiatric Epidemiology,0933-7954,1433-9285,Springer,,Germany,English,https://www.springer.com/journal/127/
The Lancet Psychiatry,2215-0374,2215-0366,Elsevier,,United Kingdom,English,https://www.thelancet.com/journals/lanpsy/home
World Psychiatry,1723-8617,2051-5545,,Masson SpA,Italy,,http://www.wpanet.org/detail.php?section_id=10&content_id=421
Advances in Experimental Social Psychology,0065-2601,1557-8410,Elsevier,,United States,English,https://www.sciencedirect.com/bookseries/advances-in-experimental-social-psychology
American Psychologist,0003-066X,1935-990X,American Psychological Association (APA),,United States,English,http://www.apa.org/journals/amp/
Archives of Sexual Behavior,0004-0002,1573-2800,Springer,,Netherlands,English,https://link.springer.com/journal/10508
Autism,1362-3613,1461-7005,Sage Publications,,United Kingdom,English,http://aut.sagepub.com/
Behavior Research Methods,1554-351X,1554-3528,Springer,The Psychonomic Society,United States,English,http://www.psychonomic.org/behavior-research-methods
Behavioral and Brain Sciences,0140-525X,1469-1825,Cambridge University Press,,United Kingdom,English,https://www.cambridge.org/core/journals/behavioral-and-brain-sciences
Behaviour Research and Therapy,0005-7967,1873-622X,Elsevier,,Netherlands,English,http://www.sciencedirect.com/science/journal/00057967
Brain and Language,0093-934X,1090-2155,Academic Press,,United States,English,http://www.sciencedirect.com/science/journal/0093934X
Child Development,0009-3920,1467-8624,John Wiley & Sons,The Society for Research in Child Development,United States,English,https://srcd.onlinelibrary.wiley.com/journal/14678624
Clinical Psychological Science,2167-7026,2167-7034,Sage Publications,,United States,English,https://www.psychologicalscience.org/publications/clinical
Cognition,0010-0277,1873-7838,Elsevier,,Netherlands,English,http://www.sciencedirect.com/science/journal/00100277
Cognitive Psychology,0010-0285,1095-5623,Elsevier,,United States,English,http://www.sciencedirect.com/science/journal/00100285
Cognitive Science,0364-0213,1551-6709,John Wiley & Sons,Cognitive Science Society,United States,English,https://onlinelibrary.wiley.com/journal/15516709
"Cognitive, Affective, & Behavioral Neuroscience",1530-7026,1531-135X,,,United States,,http://www.psychonomic.org/CABN/
Depression and Anxiety,1091-4269,1520-6394,John Wiley & Sons,Hindawi,United States,English,https://www.hindawi.com/journals/da/
Development and Psychopathology,0954-5794,1469-2198,Cambridge University Press,,United Kingdom,English,https://www.cambridge.org/core/journals/development-and-psychopathology
Developmental Cognitive Neuroscience,1878-9293,1878-9307,Elsevier,,United Kingdom,English,http://www.elsevier.com/wps/find/journaldescription.cws_home/722734/description#description
Developmental Neuropsychology,8756-5641,1532-6942,Taylor & Francis,,United States,English,http://www.tandfonline.com/toc/hdvn20/current
Developmental Psychology,0012-1649,1939-0599,American Psychological Association (APA),,United States,English,http://www.apa.org/journals/dev/
Developmental Science,1363-755X,1467-7687,John Wiley & Sons,,United Kingdom,English,https://onlinelibrary.wiley.com/journal/14677687
Early Childhood Research Quarterly,0885-2006,1873-7706,Elsevier,,United States,English,https://www.sciencedirect.com/journal/early-childhood-research-quarterly
Emotion,1528-3542,1931-1516,American Psychological Association (APA),,United States,English,http://www.apa.org/pubs/journals/emo
Environment and Behavior,0013-9165,1552-390X,Sage Publications,,United Kingdom,English,http://www.sagepub.com/journalsProdDesc.nav?prodId=Journal200783
European Journal of Personality,0890-2070,1099-0984,Sage Publications,,United Kingdom,English,https://journals.sagepub.com/home/erp
European Journal of Psychotraumatology,,2000-8066,Taylor & Francis,,Sweden,English,https://www.tandfonline.com/toc/zept20/current
European Journal of Social Psychology,0046-2772,1099-0992,John Wiley & Sons,,United Kingdom,English,https://onlinelibrary.wiley.com/journal/10990992
Evolution and human behavior,1090-5138,1879-0607,Elsevier,,United States,English,http://www.sciencedirect.com/science/journal/10905138
Health Psychology,0278-6133,1930-7810,American Psychological Association (APA),,United States,English,http://www.apa.org/journals/hea/
Intelligence,0160-2896,1873-7935,Elsevier,,United States,English,http://www.sciencedirect.com/science/journal/01602896
International Journal of Eating Disorders,0276-3478,1098-108X,John Wiley & Sons,,United States,English,https://onlinelibrary.wiley.com/journal/1098108x?tabActivePane=
International Journal of Human-Computer Studies,1071-5819,1095-9300,Academic Press,,United Kingdom,English,http://www.sciencedirect.com/science/journal/10715819
Journal of Abnormal Psychology,0021-843X,1939-1846,,American Psychological Association Press,United States,English,http://www.apa.org/pubs/journals/abn/
Journal of Applied Psychology,0021-9010,1939-1854,American Psychological Association (APA),,United States,English,http://www.apa.org/journals/apl/
Journal of Attention Disorders,1087-0547,1557-1246,Sage Publications,,United States,,http://www.sagepub.com/journalsProdDesc.nav?prodId=Journal201756
Journal of Child Psychology and Psychiatry,0021-9630,1469-7610,John Wiley & Sons,Association for Child and Adolescent Mental Health,United Kingdom,English,https://acamh.onlinelibrary.wiley.com/journal/14697610
